paragraph;label;tribunal;witness;document;case;date
to provide your testimony regarding the S office which is now known as Tuol Sleng prison and in the proceedings the Chamber would like to inform you your rights and obligations as a witness as follows As you are summonsed by the Trial Chamber as a witness in this proceeding you have the obligation to testify to the facts that you have seen have heard and secondly as a witness you have the right to refuse to answer if you think its going to incriminate yourself Do you understand what I have said regarding your rights and obligations A Yes I do Q Can you recall before the th April where did you live Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page and what was your profession A Mr President from what I can recall in I lived in the Battambang provincial town I was a painter at the time   Q And until the April where did  now on the April which was the main date where were you and what did you do A On the th I was still in the Battambang provincial town Q In the provincial town of Battambang did the Khmer soldiers enter and occupy on that date or when A From what I can recall that was the day  that is the April  at or p m  at noon we received a lot of;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
information in the provincial town that the liberation soldiers reached the Veal Bek Chan which was about one kilometre from the town and that they surrounded the area and that the war would be over very soon So we were all aware of that information in Battambang Q And after the April where did you go and what did you do A After the liberation soldiers took control of Battambang for two days they had a plan to evacuate all the people from the province I and my family were evacuated to the northwest of town about eight kilometres It was the rice field and there were no people at the time   Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page At that location we had to find accommodation for ourselves and we had to work in the rice fields all of us Q What village was that The rice fields where you lived and worked A It was in O Mony Pir village District in sector That was the names before the liberation soldiers entered It was also known as Norea Commune Sanke subdistrict Q On what day did you leave the Battambang provincial town A I left Battambang on the day that we were all evacuated and five days later we  five or six days later we arrived in that location because the walking was slow and the situation was rather chaotic;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
So from my estimation it took us five six or seven days Q What were you asked to do when you were at O Mony Pir in District A First we had to find a shelter for ourselves There was no houses there were only trees and rice fields so we went through the brush to find the trees and the palm leaves to make our temporary accommodation And in the afternoon we were called for a meeting to divide into various groups for working in the rice fields on the next day Q So first after you made your own shelter they had you work in the rice field Is this correct A Yes Q How long did you stay there Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page   A From my recollection I stay there from the day that I arrived until the th of December when Angkar arrested me Q So you were arrested by Angkar at O Mony Pir in sector right A At that time I was called from that location and I was arrested in Balatt Cooperative Its near the Songke River which was about five kilometres from the cooperative where I lived Q Can you describe to the Chamber the events concerning Angkar from the day of your arrest until you were transferred from Battambang to Phnom Pehn that is to S office So it means the;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
details from the day you were arrested until you were transferred to S Can you describe all the events within that period A Mr President I will describe based on my recollection of the events from my arrest On the th of December  by the time that I was working in the rice field It was harvesting season which was north  it was about five or six kilometres from the cooperative where I lived At about five p m the chief of the Cooperative Luom who was in charge of economics for sector went to the worksite and he told me Angkar instructed him to go to Pursat and he collected some forces already However he still needed some forces and he pointed to me whether I could go with him Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page   When he pointed directly to me at that time I was about to get my food ration I was worried because Pursat was a far distance from Battambang but I did not object to him and I told him Its up to you brother if that was the Angkars instruction then I have to go So you have to pack he told me but because we were in the rice field I did not have my possessions just a few sets of old clothes So I was on his oxcart with him and;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
when we arrived at the cooperative it was nearly dusk already and I asked him to go to my house quickly and he allowed me to go but he said you had to return soon So I went into my house and I told my wife that I was instructed to go to the province I did not say much so I left my house and when we arrived at big cooperative and this Comrade Luom was standing there waiting for me So then we rode on an oxcart There was only himself myself and a militia man I was not aware that I would be arrested When we arrived at the Balatt Cooperative he told me to go and rest and after I rested for about half an hour I was woken up and I was instructed to go and bring the oxcart another oxcart I asked him how could we bring another oxcart because we do not have extra cows He said dont worry just go and pick up an oxcart Only two steps after I walked I was arrested Those were the Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page militia whom I recognized They were from my village since I was young and that one militia man from what I know had killed a lot of people So I resisted the arrest but Comrade Thean the chief of the cooperative instructed the;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
militia to tie me and I asked him What did I do wrong  He said he did not know but there was an instruction to arrest myself So in the cooperative there was a prison and I was sent there It was a rice barn and they shackled my legs the same type of shackles used at S I was not know all the times but quite a while later they took me out and they walked me and we rode on the oxcart for  it was about midnight and I was placed at the Samrong Pagoda The Samrong Pagoda was a very popular detention site in sector So they detained me there together with another cousin of mine Say Sarak so we stayed there overnight and we were not interrogated In the morning on the next day at about a m I heard the sound of a motorbike a Honda motorbike so the prison was in fact a Bible hall as part of the pagoda They opened the door and they called my name Heng Nath that was my name at the time Heng actually was the name of my godfather so I used the surname Heng Nath Actually my father was Vann Sam but after he had me as his godson I used his name as my surname Heng Nath   So that was what I know during the Khmer Rouge regime After my name was called I raised my hand and they took me;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
out and a Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page prison guard told me to go out and to resolve the matters and I asked where And the guard said No need to talk You will know when you go and meet them and you have to resolve the matters with them And if they decide to let you go then you could go back home  So I was placed on the Honda motorbike with Sarak and there was a rider and a militiaman with the AK rifle behind us but we were not cuffed So we rode and we left the pagoda to the Kandal Pagoda along the Songke River I did not know that Kandal Pagoda was also a prison After we arrived there were four or five soldiers in black They arrested us immediately and sent us inside Sarak went to one direction and I went to another direction In that room I saw another person who was shackled with a wooden shackle and later on I realized there were other people there were five of us So the wooden shackle was thick Its about centimetres thick and the height was rather high They drilled a hole and our feet were put into the holes and they used a clamp to tighten the wooden shackle At about p m I was taken off the shackle for interrogation so they tied my;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
hands to the back and they put another shackle and I thought probably that was the end of my life So they walked me to the back of the pagoda and I was interrogated as it was alleged that I was a traitor for Angkar and the revolution and they wanted to find the treacherous network of soldiers Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page   They asked me for things that I never knew For instance how many times were the meetings held and where and who participated in the meetings and what are their names and where are they now I myself I never attended any meeting with anybody I did not have time In the morning when the bell was rung we had to go and work and sometimes we rested for a bit and we went to work again The meetings were only those meetings held at the cooperative Then a person said You have to try to remember because Angkar never made any wrong arrest How could I think if I never attended such event So then they used an electrical wire There was a table four or five metres away from me and they dragged a cable from that table to the location where I sat on a chair but when I went into that interrogation room I was already shocked There were red plastic bags hanging on;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
the wall there were screws there were metal screws and clubs and the chair where I sat there were blood drains blood spots everywhere So then the person asked me again whether I remembered and as I could not say anything they used the electrical wire attached to a pin and attached to my pants and my flesh on my foot and another one was attached to the back of the cuff and then they turned on the electricity After that I became unconscious I became conscious again after they splashed the water on my face and then they kept asking me again on the traitors on the Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page treacherous network Those events I did not know   I became unconscious several times then they brought me back to the room I was not sure what I answered to them because my mind was not clear at the time I thought if they did that to me again tomorrow then I would be dead because in my mind after they took me back to the room and if there was a big jar of water I would drink it all because I felt so hot But next day another person was taken out for the interrogation so they did not interrogate me again until the th January when a few guards holding some documents calling the names of;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
the prisoners from the rooms including my name So we were unshackled from the room and we were lined up outside and we were cuffed There were two trucks waiting for us so we were instructed to board the trucks So I thought that would be the end already because when we boarded the truck probably they would take us to where they would kill us So I boarded the truck and then they shackled us again with a wooden shackle There were six of us in that long row and there were people altogether in that truck and on another truck there were people So in the afternoon the trucks left I became hopeless already every one of us because we knew that we would be killed But the trip was so long and when the night fell we did not have even have anything to eat or were given anything to eat Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page At about midnight the trucks stopped but we were not sure where we were At that time I did not know where the trucks stopped only later on that I knew It was in front of the current Beehive radio station So the trucks stopped there and with our feet shackled they did not allow us to disembark the trucks yet So then they used cuffs to cuff one hand of each prisoner to;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
another hand of another prisoner Then they took off the shackles but we were so weak and tired already noone could not walk So we were unstable we could not stand so they instructed us to sit in two lines and we were asked about biography where we came from what is our name so I told them my name that I came from the fifth cooperative from the Northwest Zone After I answered the biography questions all of us were blindfolded and they used the hammock rope to tie our necks in line and walked us with that rope At that time we could not see it was dark so first of all we only listened and followed the footsteps Sometimes we didnt know that we had to turn so some of us stumbled and hit the zinc fence and they laughed at us And they said they joked around that we were like the blind and sometimes they kicked us and I was kicked as well I did not know what wrong I made or I did So I fell and I got up and continued walking   Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page And after we arrived into a room we were each photographed After they took off the blindfold I saw the camera in front of my face already So then one prisoner would be photographed while the next;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
would sit because we were cuffed together and we take turns to be photographed And I think it was  I was then placed in the second floor which is now marked Building D and we were put into the long row of shackles There were or of us in each row of those shackles And the black clothes that we were wearing we were stripped of those clothes Some had shorts and they just wore the shorts For those who did not have any shorts they were given shorts about an hour later They were only like shorts with nothing to tighten the waist because probably they were afraid that maybe we would take the string from the waist tightening to hang ourselves to commit suicide The conditions were so inhumane and the food was so little There was a big pot of gruel to be distributed among or of us so we only had three spoons of gruel for each meal and the spoon was like a coffee spoon  so little Its not like a normal rice spoon And the spoons would be collected and if any prisoner hid or concealed a spoon and if they found it out then they would beat up or kick So the living conditions and the food during the two or three days was so inhumane I lost my dignity because the condition of the prisoners and the guards were so distant Its like humans Extraordinary Chambers in the Courts of;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page compared to animals Even with animals they would give enough food So I stayed in that room   I arrived on the th of January  and I entered that room on the night of the th and I stayed in that room for more than one month probably one month and a few days The condition of the people living in that room from what I can say at night  Im talking about the rights of people in that room They were only allowed to lie down and we would not be allowed to sit up unless we sought permission from the guards Otherwise we would be beaten up On the whiteboard there was regulations internal regulations For example we would be warned not to make noise or communicate with one another We had to listen to the guards and not be liberal and so on and so forth So we could not do anything without any permission We had received a bowl of gruel at eight oclock in the morning and we got another one at eight in the evening We were allowed to do exercise in the morning but while we were still shackled In our room we slept there and ate there and relieved ourselves inside the same room and we were not allowed to move even an inch from where we belonged where we put And when;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
we were allowed to do exercise our legs were still shackled to the metal bars and we could like hop to do exercise If we didnt hop then they would beat us also We were so weak and how could we hop But we just did it Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page against our will to avoid being whipped And while doing the exercise we could only stop hopping after we received an order or permission from the guards Otherwise we would hop until we died   And they allowed us to have a bath and a young guard would use a hose a water hose and pour the water on approximately prisoners all at once and after five minutes they would stop pouring the water So we had never been washed or had a bath for quite some time so we had developed some kind of skin rashes and we felt so itchy and the floor was wet and we couldnt sleep after the bath So we had to remove our clothes to dry the wet floor until it dried so that we could sit up Of course we had to remove our clothes to do so but it was so uncomfortable because we were shackled and then we had to remove our clothes while still being shackled You could imagine how difficult it was And we were so hungry that;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
we could eat insects even the insects that dropped from the ceiling Then we would immediately grab it and eat and when we were eating such insects and spotted by the guards then we would lie to them that we did not do anything If they found out that we were eating insects we would be beaten also so we could do that only if we avoid being seen by the guards So the death is imminent and people died one after another and Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page at about to p m the corpse would be removed and we ate our meal next to the dead body and we did not care anyway because we were like animals and everyone would be treated the same And until the day we were  I was taken downstairs I could hardly walk because after more than one month being motionless I was so skinny and weak And then after hearing that I would be called I started to realize that my day had come because people came to ask in my room to see whether there was the brother named Nath which was my name Then I was so frightened to hear that people would be looking or searching for my name and then I told myself that I didnt care any longer because I could be killed any time if they would;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
wish to do so and I better died rather than living in such condition And I did not think of any other thing other than being thirsty and hungry I was so hungry that I had never experienced that hunger before and I thought that even eating a human flesh would be a good meal for me also at that moment   And then when they searched for my name and called my name then they asked people to remove my cuff and I was the last person in a line of other prisoners so they had to remove other prisoners before they could really remove me from the cuffs And as I told you after I was removed from the cuffs I could not stand up I needed assistance to make sure I could stand up and because I Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page could not move any inches during the last more than one month under detention And that day I came downstairs and I was not blindfolded although my handcuffs were still on and I noticed earlier that when prisoners were taken to be interrogated or taken away then they would be blindfolded but I observed that I was removed my blindfold because I believed that they did so not to  I mean when people were blindfolded because they didnt want people to recognize anything so I felt;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
a little bit different when I was not blindfolded Then I was walked by three people Two helped me to walk from upstairs downward and then we went into the middle building  the room  and then I saw a few people sitting there At the beginning I did not know who they were but later on I knew they were the chiefs in that location I didnt know his name because people called him Brother East and I just called him Brother East and then he asked me how long I had been in painting And then I told him about my background of my painting experience in so its almost five  sorry years Then I saw the other people who were already there I remember Bou Meng and another person from France Sunkhun and the other three people before me And he said that the Angkar needed a big portrait of the leaders and they asked us whether we could produce or paint such a picture   Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page And I told him that I had not been practicing this painting for long but I would do my best to paint the portrait And then he gave me a big photo and I did not know who he was because I was in the rural area and I did not know that a person I;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
knew he would have been the leader but he asked me to paint a bigger portrait of this individual And my ears at that time were difficult to listen to him and he asked me to take a rest for three days and he said that I smelled like shit and then asked me to have my moustache and hair shaved and asked that two guards had to accompany me in order to avoid me being committing suicide and I told him that  I assured him not to worry because I was already freed and I enjoyed this moment So they gave me a scarf a Khmer scarf and sets of clothes to change but I had developed skin rashes all over my body I didnt remember when or what date it was but it was about that I was given the rice I could not chew the rice because my jaws became so sore that I could only chew about a few chewings and then I stopped And after a moment then the East Brother advised me to work on the portrait and he asked me to try to paint a draft of a portrait and then I tried And after my detention and for long then I felt so trembling holding the paintbrush and I knew that if I did not paint well I would be in big trouble I was so nervous Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
  ECCC TC KAING GUEK EAV Page The first portrait was bad because it was a black and white portrait because I did not learn that At school I learned how to mix colours in painting but when it comes to black and white it was a new skill for me I told him that I would like to switch to painting the colour portrait   Then he asked  he gave me the choices he said that okay whatever you could be good at then you should choose it and to make sure that Angkar would be pleased And then I realized that it was the life and death situation Of course the colour portrait could save my life If I made the portrait attractive then the Angkar would be pleased with the painting then I would be spared from being executed At the beginning the portrait was not that good but he believed that I was a painter so he could make use of me at the location and I had been working hard on my work and then they picked guards to guard my work until the th of January I hope this is the brief summary of my background and story Q You said you were arrested at Battambang province but you were not told of any offences of yours while being arrested A They did not tell me anything They asked me to collect rattan in Pursat Q Then when you were interrogating;1;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
then you were asked to produce the networks  the traitorous network and other associates to topple the regime at that time is that correct Extraordinary Chambers in the Courts of Cambodia Trial Chamber  Trial Day Case No   ECCC TC KAING GUEK EAV Page A Thats correct Your Honour   Q When you were sent to Phnom Penh how long would it take to get to Phnom Penh Is it one night or one day and a half A So far as I remember I left at about oclock and I arrived at Phnom Penh at about a m in the morning Q You said that you were not given any food on the road when you were on the way to Phnom Penh So you wanted to relieve yourself were you allowed to do so among the other people A They would not allow us to do so They only threw a container a fivelitre container for us to relieve ourselves in such a container Its an ammunition box Q You said that there were six  there were two truckloads of people So there were people on those two trucks   My question is that when people were shackled to their legs with the wooden form of shackles were their hands also cuffed or handcuffed A Our hands were not handcuffed Q Were you blindfolded when you were being sent from Battambang to Phnom Penh A No we were not blindfolded Your Honour;0;1;Vann Nath;E1_39.1_TR001_20090629_Final_EN_Pub;Case 001;29.06.2009
